CUSTOMER_ID,ADDRESS,BIRTH_DATE,NAME,NATIONAL_ID,SURNAME,ZIP_CODE
1,456 Elm St,1997-03-15,EGhOvCLHIC9bgdKFXBlcGQ==,MX4s+gKobcVdtK1CJawmqQ==,9gZ+UkL+QIBas/k3OA74LQ==,6789077
2,345 Maple St,1997-08-22,5rz2NZdCVJxjID0t5WOuUA==,xQIJcS4iv/X16Hb/h05y3g==,9gZ+UkL+QIBas/k3OA74LQ==,5813084
3,678 Oak St, 1998-11-03,uaAY12NhYp33EeJaCViSIA==,d1M4Nkc3I/mxdAS5BCA16g==,p3eUKI+ro/AE3wBCRW9EOg==,8745132  
4,987 Pine Rd, 1982-07-14,PHRGptxp0rI9NYhpJxZD+g==,Snz3n2hBtuMs5R3jnPbGoA==,4hrA0tVujKCsEvHRtrHpHA==,2154624  #invalid
5,234 Birch Blvd, 1995-09-29,tkdb3dn0iHDhStFyNhp7PQ==,zmsVu6+FOpV3a/LRsxnDlQ==,zmsVu6+FOpV3a/LRsxnDlQ==,5214411  #invalid
6,888 Ash St,1992-07-07,Pt5EZfmTjFCIggaAdKLEHg==,DCkjueFTrTcdFG2+5WkIKg==,KLfzc0TFmtPgfuQJ3eevNQ==,5550015   #invalid
7,951 Spruce St,2000-11-18,qRuCHMQ5ZIhtAG5w1pD6hg==,OsR8LHk+CXK5rXJPPdigHA==,T/LZ2ZzDHUffxeH7g1NN8A==,5550016	
8,123 Maple St,1984-01-01,gk9u+4LKdYpgCYRcwYN4kw==,yneqicG1U1nfqPGJT2gdHQ==,5wi3+rjiP6rEo4fG3JnNgQ==,5550017 #invalid
9,456 Oak St,2016-08-21,AB+/hA227ABlQXVMjm6vPQ==,qK490E2HDA6dLFdivg0ydA==,DfXw7kXp3B6ZtrJOk+c6Ug==,5550018   #invalid
10,789 Pine St,1999-05-30,UmQzPcpWxrYCX/3LNgxTxg==,6ehoTrPLPzRax52DZaE7IQ==,439GJs73p886MVeP6B+8TQ==,5550019
11,321 Birch St,1999-02-18,fDst026E8gP5f1J3FHGPyw==,if0EjZqpbuXrEIZVVBIHDg==,jCTZ0GO5ptAlNyXZouRCAQ==,5550020
12,555 Cedar St,1996-12-12,f1m74HQPyUJB2+XzcZe4SA==,qklVN2d7M+ixm1u/aCIY1A==,gnuJlKiOQAJAavvvMbwftg==,5550021	
13,222 Elm St,1993-09-19,f9ftL3x9zI7deFLkSHDx+g==,Zjqe0t+MQoBPH4Yy/oeyVQ==,pUEk1efz9MwAEbJBhYuXcg==,5550022   #invalid
14,777 Cherry St,2001-04-04,/G/YMGT8LFLBImQYgmMBHQ==,kFCeHfGb5dYeog2RL3KwUA==,4VPBW0AYBOYmrxCwqLkahQ==,5550023                   
15,444 Walnut St,2004-07-15,PKzZD/zqoga1rHYyjDs0VA==,Ew2GTBSbpQouoL2dDd5lQg==,q5tj5zT46+aMqea5/VYVgw==,5550024	
